User,Pesan,Jam,Tanggal,Status
Maimunah,"Asing juga tinggal dikit sih kayaknya keluar juga ngak ngefek amat
Yg serem skrg ritel byk eui
Membalas : Photo
Kalau liat berdasarkan makin muda taun kyknya kgk efek ke IHSG alias ijo besok
Kalau copet mau IHSG merah atau ijo yg penting sore cuan dan kosong porto
",7:25:52 PM,Sunday March 28 2021,Positif
Maimunah,"Membalas : Ia om  
Sentimen ijo kuat soalnya dimana mana Dilini masa ijo, tapi hasil akhir yg menang yg guyur ttp follow theoney",7:22:44 PM,Sunday March 28 2021,Positif
Jimmy,"Membalas : Mohon pencerahan om, aturan CL 2% (atau berapapun) ini ..terhadap total modal atau terhadap modal per trade ya?
Idealnya sih dari modal per trade yah. Kan cuan juga targetnya modal per trade. Tapi kalo mau dari overall modal juga boleh aja. Tapi ngincer TP cuannya pastinya dari overall modal juga  ",3:02:55 PM,Sunday March 28 2021,Positif
IHSG MORNING STAR OTW 6500,Haka antm 1jjta lot,2:54:23 PM,Sunday March 28 2021,Positif
Kaanz ,"Membalas : mau tanya, volume dikatakan tinggi itu kalau diatas volume rata"" candle harian atau gmn ya?
Kalo menurut saya volume dikatakan tinggi apabila transaksi hari ini lebih besar dari transaksi hari sebelumnya, baik tekanan jual atau beli, mungkin ada yang ditambah lagi dari teman  correct bila salah",2:48:51 PM,Sunday March 28 2021,Positif
Eko Bawono,"Membalas : Info dari Rm Alfius, Komisi Kepemudaan Keuskupan Makassar:  Mgr dan Para Romo serta teman2 sekalian... kami aman. Tidak ada kor
Syukurlah tdk ada korban jiwa dr umat.
#CENT. stlh sinyal wiseman1 valid ungu justru naik utk sementara orange. Struktur harga dan volume oke. Hmmmm
Ini adalah foto
#ANTM. Sinyal wiseman1 valid. Formasi candle sinyal buy. Hmmmm
Ini adalah foto",11:36:16 AM,Sunday March 28 2021,Positif
Bu Nana,"Membalas : Kalo sudah kenal betul sahamnya sih ada kemungkinan. Cuman memang risky yah. Kecuali capital all-in nya tidak terlalu besar, kat
Ya pak Jimmy kenal pola dr awal ditarik dan biasanya memang sudah uptren dan posisinya 
1. Mantul dr ma 5 or ma 20 
2. Mantul dr support candle",11:33:09 PM,Saturday March 27 2021,Positif
ryanless,"AGRO mantul di 1035
Ini adalah foto",10:53:58 PM,Saturday March 27 2021,Positif
ryanless,"Membalas : Ne ap mksdny?
Kalo jebol mungkin mantulnya di fibo 0.5 om",10:34:53 PM,Saturday March 27 2021,Positif
Avianto,"Yah itu yg sy maksud.. banyak jg retail yg "" gambling""  beli saham di hari LK krn prediksi di LK nya profit. Lalu saat LK keluar dan benar profit, maka  saham naik hr itu, kemudian TP di sore hari. 

Tetap ini masuk kriteria yg di sampaikan WB tadi
Menurut pendapat sy loh. Yg beda pendapat yah monggo
",8:09:46 PM,Saturday March 27 2021,Positif
Avianto,"Yup berarti benar day trading = zero sum game. 

yg cuan dapat uang dari yg boncos. 

Beda bila cuan di karenakan harga saham naik di sebabkan krn keberhasil perusahaan mencetak laba. Ini bukan zero sum game.
Saat org pegang saham bbrp waktu lalu harga naik saat LK keluar profit besar... maka banyak org tertarik saham tsb shg saham naik harganya",8:04:58 PM,Saturday March 27 2021,Positif
Kaanz ,"CENT memang menarik dari chartnya, apalgi kan mau RI juga bisa cuan njedog tuh ",7:28:14 PM,Saturday March 27 2021,Positif
Aho Lie,"Membalas : Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu
Saya sekrg di cent  padahal udah komit mau sampai target e...iseng pdhl beli dpt di 226 itu harga plg tinggi lgs haka naik terus sampai 300 e..turun jual dulu 272.  Naik lagi fomo beli 280 trus turun gsk tahan maksd mau cl trus masuk lg malah lebh tinggi tp srkrg udh plus dikit ",7:26:43 PM,Saturday March 27 2021,Positif
Chai Lie,"Membalas : Tp ingat says pernah udah cl masuk kslah cepet malah dpt avg lebh tinggi jadi gak ada yg 100%bener
Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu  ",7:23:43 PM,Saturday March 27 2021,Positif
Charles Prop,"Membalas : Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampa
Betul pasti pullback krn bbtn baru break ath 2020 jan kemarin. Tapi masih akan naik lagi mengikuti kinerjanya. Ini berlaku buat saham2 lain jg yg punya kinerja positif",6:38:18 PM,Saturday March 27 2021,Positif
Kaanz ,CENT nya potensi SSP dong ,6:35:16 PM,Saturday March 27 2021,Positif
Aho Lie,"Membalas : Deviden bagi pun jg ga akan besar. Dan ga ada artinya. Toh bbtn selama ini nyari duit dari kupon obligasi, yg harus dibayar bung
Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampai target 2000 kits tinggsl bener 2100 lebh lgs amblas bgt gak bagi deviden krn kbr bagus dan gak ngaruh banget ke saham sori ini pribadi bisa beda2 analisa gak kelar2     ",6:30:16 PM,Saturday March 27 2021,Positif
Aho Lie,"Membalas : Contoh yang barusan kejadian adalah BBTN. Dirut ditarik org luar. Investor ngerasa kebijakan bbtn ini uda bagus, tapi berhub org
Klo nurut saya begitu bilg untung nsik 600%lrbh tp deviden gak bagi  ",6:24:39 PM,Saturday March 27 2021,Positif
Fakhri Arsyan,"#JPFA,  potensi bikin HnS
Ini adalah foto",3:48:09 PM,Saturday March 27 2021,Positif
Eko Bawono,"Membalas : Wah terimakasih insightnya Pak... Jadi garis ungu itu batas CL kalau entry skrg di 1005 ya?
Grs ungu sinyal buy dr candle",2:38:49 PM,Saturday March 27 2021,Positif
Billy,"Membalas : Jadi saat break volume tinggi baru masuk buat optimal entry ya? Kalau mau spekulasi cicil2 waktu sudah mulai mendekati MA50W nya
Iya ini waktu posisi nya market baru mau turn bull kang.. Skrg kan beda lg.. Skrg cari pivot entry ketika Saham2 yg lg otw uptrend.. Bisa flat base.. Bisa cnh atau rounding",2:24:46 PM,Saturday March 27 2021,Positif
qodri,"Membalas : Photo
wkwkwkwkwkkwk hasil cuan MPPA d balikin lg k perusahaannya ya pakde",2:04:15 PM,Saturday March 27 2021,Positif
Hendro Masori,Lanjutkan. Pamit dulu waktunya belanja ke MPPA....  ,1:46:05 PM,Saturday March 27 2021,Positif
DEN,ANTM minggu depan ARA wajib pantau beritanya baru di buat media    ,1:44:41 PM,Saturday March 27 2021,Positif
Tommy Daniel,"Membalas : berkat guru-guru disini pak benhan   semenjak para guru disini sharing pengalaman, saya berpendapat tidak perlu waktu lama untu
Kalo udah cuan 10% gak ada salahnya take profit.

Kalo dipraktekkan 10x aja modal udah grow 100%",1:28:40 PM,Saturday March 27 2021,Positif
Fajar Oktavaria,"Membalas : Mantap, set stoploss di berapa skrg DOID
engga cutloss jadinya pak, malahan jadi profit  ",12:44:58 PM,Saturday March 27 2021,Positif
Benhan,"Membalas : Photo
Kalau lewat 1040, saya beli. Sama kayak analisa @sitotom tadi
",12:32:22 PM,Saturday March 27 2021,Positif
Bu Nana,"Saya hbs CL bbrp saham , makanya cari ganti , posisi triangle eh blm bo malah avrg down tapi malah saham tsb naik lagi dgn akumulasi asing hehe kadang kedistract antara akum asing vs support resis",12:17:31 PM,Saturday March 27 2021,Positif
Benhan,"Membalas : Saya lagi ragu pak Rakhmad, krn uda tinggi tapi masi uptren dan topik pagi ini Adalah avrg down
Kalau benar avg Anda 1020, ga perlu ragu Bu. Saya rasa Senin ini ga akan sempat avg down karena harganya dah naik duluan ",12:14:40 PM,Saturday March 27 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : ini pada case saat terlanjur dalam https://www.tradingview.com/x/bvz254Wp/
Mantap ini!!     

Kalau saya sendiri waktu CENT turun k bawah 250 saya CL krn beli avg up jdnya dpt di 262
Kamis setelah bottom lalu membentuk hammer hijau dg volume bagus baru saya masuk lg, di 250 juga",12:02:02 PM,Saturday March 27 2021,Positif
Bu Nana,Smra masi uptren,11:38:22 AM,Saturday March 27 2021,Positif
Benhan,"Membalas : 1020
Kalau avg nya segitu, harga closing kemarin 1005, kenapa avg down? Mending tunggu dia konfirm naik baru avg up",11:35:36 AM,Saturday March 27 2021,Positif
Bu Nana,"Pagi TT , apa ini saat yg tepat buat avrg down smra ? Di 1000 sd 950?
Ini adalah foto",11:27:30 AM,Saturday March 27 2021,Positif
Benhan,"Tentunya average down saat belum capai toleransi cutloss ya masih OK. Misalnya SAME pas koreksi sebelum RI dan kemarin2 CENT pas koreksi dikit saya avg down masih OK, karena cuma turun sedikit belum reversal trend",11:07:35 AM,Saturday March 27 2021,Positif
Alfian,ISAT :rocket:,10:08:01 AM,Saturday March 27 2021,Positif
Angga Bhara,Yukss mumpung hari libur qt wisata ke taman AGRO agar fress hari senin,9:48:34 AM,Saturday March 27 2021,Positif
Tommy Daniel,"Membalas : Membaca pengalaman suhu2 di sini dan berkaca dari pengalaman pribadi, rule nomor 1 trading itu memang PASANG STOP LOSS! Bahkan G
Setuju kakak... pasang stop loss ditiap posisi. Upgrade to trailing stop buat take profit.

Karena take profit itu juga sama penting nya dengan stop loss. Supaya bisa lihat account kita grow atau tidak.",9:13:13 AM,Saturday March 27 2021,Positif
Andrian,akra pak bisa dilirik,7:46:12 AM,Saturday March 27 2021,Positif
Daniel Bong,"Temen disini waktu covid bulan Maret ada yg potensi loss sampai 70% tapi habis skg sdh berbalik profit hampir 100%..klau ada angkat jempol nya   
Maret 20 ya bukan yg skg",7:20:07 AM,Saturday March 27 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : CENT nya dipantau bu Saya liat bagus tunggu konfirm Koreksi kalau salah
CENT kebetulan kemarin sudah masuk kak begitu dia ngebentuk mjolnir hijau dengan volume bagus, thank you remindernya   

Eko Bawono Aminnn pak, kalau itu sampai terwujud        cup nya cantik banget soalnya  ",10:29:11 PM,Friday March 26 2021,Positif
Eko Bawono,"Kl sy mau beli same, buy jk tutup di atas angka2 di atas. Kl lancar, sapa tau akan  
Ini adalah foto
Ini adalah foto",10:26:57 PM,Friday March 26 2021,Positif
Yugo Ginanjar,"Membalas : Photo
CENT nya dipantau bu 

Saya liat bagus tunggu konfirm
Koreksi kalau salah",10:26:16 PM,Friday March 26 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Ijin berbagi analisa juga, hari ini SAME menunjukkan buyer kembali memasuki arena namun tertahan dibawah fibo 0.5 atau area sell signal dari Pak Guru Eko
Apakah besok akan berlanjut kenaikannya, atau akan kembali turun untuk mendekati MA20nya, karena selama ini MA20 selalu dicolek dulu sebelum ngegas  

Saya akan menunggu di area MA20 tersebut
Ini adalah foto",10:23:59 PM,Friday March 26 2021,Positif
Rick Andre,"Membalas : Photo
Kl diliat dr history gris hitam sblmnya ad potensi break keatas pak.. dlm weakly lbh cantik candle nya..",10:23:19 PM,Friday March 26 2021,Positif
Fajar Oktavaria,"Membalas : Photo
jika lanjut naik dengan volume menurut saya >458, jika buy on weakness 416 *untuk perjalanan ke 500 harus melewati resistnya di 474 (by body)
",10:00:37 PM,Friday March 26 2021,Positif
Shimano Aditya,"Kalau saya, yakin akan retest ke garis support hijau dulu. Klo berhasil bertahan di atas support, mungkin saya cicil beli, klo dia break garis hitam baru saya avg up",9:58:31 PM,Friday March 26 2021,Positif
Kaanz ,"TT nya udah jebol resistance, menuju ATH nih ",9:30:15 PM,Friday March 26 2021,Positif
Kaanz ,Terimakasih juga pak @JuthaBram  view nya tentang indeks semoga juni bisa cuan njedog  ,9:29:14 PM,Friday March 26 2021,Positif
Shimano Aditya,TT Ara lagi banyak dari grupnya pak jutha hahha,8:51:22 PM,Friday March 26 2021,Positif
Muhammag kuncoro,"Membalas : Kagak tau padahal dah mute kan?
Asix juga dengar masak2 di grub saham mungkin ini kodenya saham icbp ya minggu depan.",8:45:01 PM,Friday March 26 2021,Positif
Dave @propertyimpianmurahsurabaya,Lg goreng Ikan mungkin  ,8:36:38 PM,Friday March 26 2021,Positif
Jutha Bram,"Membalas : Yang haka antm tins inco mcas mukanya beseri2 pasti   
Saya Haka ESSA saja kemarin  
",5:34:23 PM,Friday March 26 2021,Positif
Mic,"Membalas : ANTM TINS INCO MCAS HAKA
Yang haka antm tins inco mcas mukanya beseri2 pasti   
",5:26:14 PM,Friday March 26 2021,Positif
Satimin Sejati,"Membalas : Yup, swing low confirmed. Semoga 1 april akan jadi last chance to buy before start to retest 6550 lagi di april-Mei...
Semoga bisa yiha2 lagi setelah musim tanam kmrn. Aamiin",5:25:53 PM,Friday March 26 2021,Positif
Jutha Bram,"Membalas : Nah sekarang sudah resmi suhu @JuthaBram. Terima kasih bantuan forecast-nya...
Yup, swing low confirmed. Semoga 1 april akan jadi last chance to buy before start to retest 6550 lagi di april-Mei...",5:21:24 PM,Friday March 26 2021,Positif
Paw Paw,cakep ya antm,4:46:50 PM,Friday March 26 2021,Positif
Johny,"Membalas : Mau tp ritail gak ngikut  
lumayan yang serok tadi cuan 3%  ",3:25:01 PM,Friday March 26 2021,Positif
Jafar Sim,"Membalas : Jadi pola htf nya pak ?
Harusnya jadi ya, konfirmasinya senin kalau harga naik tinggi dengan  volume tinggi juga,",3:08:16 PM,Friday March 26 2021,Positif
Mic,Ihsg hijau gini ramai ya giliran merah diam semua   ,2:57:52 PM,Friday March 26 2021,Positif
Hx,Kija mulai gerak,2:16:24 PM,Friday March 26 2021,Positif
Humam,"Membalas : Pastikan lamar jabatan level Management ya Pak...karena itu MSOP bukan ESOP
AGRO MESOP pak, employee dapet juga.. ",2:08:28 PM,Friday March 26 2021,Positif
rigeladitya,"Membalas : saya ga nyadar pak sudah dari maret sudah pasang gtc baru nyadar siang tadi heran kok tiba tiba cash nambah tapi kalo tembu
yes, ihns besar banget... masing2 shoulder 3 bulan bikin base-nya.",1:58:08 PM,Friday March 26 2021,Positif
Fajar Oktavaria,"Membalas : wahaha.. lama bat. say abaru seminggu juga udah mulai gerah nih.
saya ga nyadar pak sudah dari maret sudah pasang gtc baru nyadar siang tadi heran kok tiba tiba cash nambah   
tapi kalo tembus >630 memungkinkan buat ihns itu",1:57:23 PM,Friday March 26 2021,Positif
Erich,ihsg 7000 :rocket::rocket::rocket::rocket::rocket: ,1:48:46 PM,Friday March 26 2021,Positif
as s,"Membalas : Yeay IHSG tembus 6180
   ",1:44:23 PM,Friday March 26 2021,Positif
Andru,Yeay IHSG tembus 6180,1:43:38 PM,Friday March 26 2021,Positif
Erich,"Membalas : Jgn salah yg tumpah piringnya byk  
sold barusan kena tins",1:42:15 PM,Friday March 26 2021,Positif
den,masa2 kejayaan antm is back  ,1:41:10 PM,Friday March 26 2021,Positif
Erich,kenyang dah dari tins antm inco hari ini :airplane::airplane::airplane::airplane:,1:41:01 PM,Friday March 26 2021,Positif
Aho Lie,"Membalas : ampun antm remnya blong  
Semoga ara kasian yg nyangkut byk inget klo udh untung buru2 Tp",1:40:57 PM,Friday March 26 2021,Positif
as s,ampun antm remnya blong  ,1:40:06 PM,Friday March 26 2021,Positif
Rakhmad Nirmawan Nofendi,"Membalas : Sadis ya om, yg related sama pat.wal. :police_car:
iya private equity yah gt kerjaan nya beli perusahaan yg babak belur di benerin ud cantik baru jual   . investasinya yg nyangkut kyknya di DOID waktu akuisisi BUMA di harga 1145 gak salah",1:38:40 PM,Friday March 26 2021,Positif
Charles Prop,Banking uda rally. Sip ihsg ketahab,1:38:19 PM,Friday March 26 2021,Positif
Septianto Francisco,DGNS serok arb ngab :rocket::rocket:,1:30:48 PM,Friday March 26 2021,Positif
Rakhmad Nirmawan Nofendi,"Membalas : Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu , dpt durian runtuh kalo sahamnya bener
northstar untung byk abis placement masa ke michelin sejak itu saham""nya northstar pada aktif",1:30:01 PM,Friday March 26 2021,Positif
Aliong,"Membalas : Harus liat produk ny jg si pak kenapa bs mau go private. Sngt minim sekarang prusahaan mau go private apalagi lg pandemi gini BU
Yak betul, cerita kaya saham MASA pasti dijaga ketat juga ga bole bocor alus",1:28:33 PM,Friday March 26 2021,Positif
Aho Lie,Saya sih yakin cent bakal ke 300 lebh ..ya...masalh lebhnya nih kira2 dilebihin 100 200 atau 2000       ,1:16:03 PM,Friday March 26 2021,Positif
Efraim Arya,Udh 5 kali lipat itu gais kalo beli di maret tahun lalu xixixi,1:11:16 PM,Friday March 26 2021,Positif
Erich,"Membalas : Enak kan beli AGRO Rp285 perak harga pasar 11xx   auto chuan gede benar
sm kayak bjtm ini mesop2 ya",1:10:12 PM,Friday March 26 2021,Positif
RBTAN59,"Membalas : Ini sih bukan saya pastinya    Tapi lumayan kan ANTM digoreng dari 700-an ke 2300-2400. 3x lipat dalam waktu setengah tahun
cent mgkn bisa jg 3x lipet yah Om   ",1:08:32 PM,Friday March 26 2021,Positif
Soebianto,Enak kan beli AGRO Rp285 perak harga pasar 11xx   auto chuan gede benar,1:06:43 PM,Friday March 26 2021,Positif
Soebianto,"Membalas : Asing yang beli RI Arto sih pinter, beli nya di harga disc 70%an dari harga pasar, smart....
Ini spt karyawan AGRO dikasih beli harga disc 70%an dari harga pasar ya pasti mau kan chuan lsg, apalagi di dokumen nya gak ada kata2 lock up",1:05:41 PM,Friday March 26 2021,Positif
Soebianto,"Asing yang beli RI Arto sih pinter, beli nya di harga disc 70%an dari harga pasar, smart....",1:04:25 PM,Friday March 26 2021,Positif
Benhan,"Membalas : kmaren"" jg beli antm pada bilangnya sama karna masa depan 
Ini sih bukan saya pastinya   
Tapi lumayan kan ANTM digoreng dari 700-an ke 2300-2400. 3x lipat dalam waktu setengah tahun",1:01:40 PM,Friday March 26 2021,Positif
Taufiq,Nah ini. Ihsg drtd naik terus. Koreksi bentaran. Ntar kl dibawa turun ya lumayan jg.,12:53:46 PM,Friday March 26 2021,Positif
Andru,"Membalas : dari segi mana om saingan bbca? harga saham? atau bisnisnya?
Bisnisnya dong, akuisisi oleh gojek dan kita tau customer / pengguna gojek brp banyak di seluruh Indonesia",12:41:46 PM,Friday March 26 2021,Positif
Andi FX,"Membalas : uda takut. MG aja uda jarang nongol di antm 
Hari ini nongol..makanya naik  ",12:38:14 PM,Friday March 26 2021,Positif
Charles Prop,"Membalas : kmaren"" jg beli antm pada bilangnya sama karna masa depan 
antm sudah masuk msci harga sudah dijaga. ga akan sevolatile dulu lagi",12:31:35 PM,Friday March 26 2021,Positif
Andi FX,"Membalas : Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekit
Saya beli arto karna digoreng...berharap digoreng terus dan terus...dan terus.. ",12:31:14 PM,Friday March 26 2021,Positif
krm nugraha,"Membalas : Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekit
kmaren"" jg beli antm pada bilangnya sama karna masa depan ",12:30:05 PM,Friday March 26 2021,Positif
Charles Prop,"Membalas : Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. I
kalau ditarik ke belakang chartnya 3-5tahun lalu, anda pasti ngerti kok kenapa ini saham dari 100perak jadi 5000 dibanting ke 100 lagi dengan sangat cepat
Membalas : Setuju, saingan nya BBCA
dari segi mana om saingan bbca? harga saham? atau bisnisnya?",12:23:19 PM,Friday March 26 2021,Positif
Bapakne Naila,"Coba digital bank pake PEG om, PE/EPS growth.
Membalas : Telat taunya klo tau dr dulu org kemarin waktu blm nsik harga 226 saya beli trus jyal tp sempet fomo waktu 280 tp gpp udh avg do
Siap om   ",12:07:02 PM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Waktu 180 ga dilirik om  
Telat taunya klo tau dr dulu org kemarin waktu blm nsik harga 226 saya beli trus jyal tp sempet fomo waktu 280 tp gpp udh avg down jd udh lumyn pas harga 240",12:05:55 PM,Friday March 26 2021,Positif
Vincent,"Saya mantau aja pak,all the best hehehe. Saya jg punya pandangan oke kok ke arto.",11:50:06 AM,Friday March 26 2021,Positif
Benhan,"Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. Ini blueprintnya sudah jelas dan eksekusi Right Issuenya sempurna. Sayang kalau terlewatkan. 
Di dalamnya ada North Star pula. Banyak boxes ticked!  ",11:44:52 AM,Friday March 26 2021,Positif
Benhan,"Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekitar 16x. Sudah masuk kategori Bank Buku III.
Terus bakal right issue terus sampai equitynya capai 30T masuk Bank Buku IV. Perkiraan 2022 lah tercapai.",11:40:54 AM,Friday March 26 2021,Positif
R,"haka bvic MG mulai masuk, AVG 177. masih harus di kerek naik ke 180-185",11:33:11 AM,Friday March 26 2021,Positif
Maimunah,"Waduh piye toh masih AVG, yg baru msk pagi aja ini udah cuan salah kamar ya",11:32:18 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Hehehe ya udah hari ini ada buto ijo jd cerah smg yg nyangkut kmrn bisa keluar
Saya avg down terus pak biar gak ketinggian",11:31:28 AM,Friday March 26 2021,Positif
Benhan,Pas banget ya ANTM dikerek ke atas hari ini karena ada presscon battery holding. Begitulah cara market maker bekerja,11:31:21 AM,Friday March 26 2021,Positif
Aho Lie,Klo cent sampai april kyknya prospektus keluar tp harga udsh diatas 300     ,11:30:27 AM,Friday March 26 2021,Positif
