User,Pesan,Saham,Jam,Tanggal,Status
Maimunah,"Membalas : Ia om  
Sentimen ijo kuat soalnya dimana mana Dilini masa ijo, tapi hasil akhir yg menang yg guyur ttp follow theoney",MASA,7:22:44 PM,Sunday March 28 2021,Positif
IHSG MORNING STAR OTW 6500,Haka antm 1jjta lot,ANTM,2:54:23 PM,Sunday March 28 2021,Positif
Bu Nana,"Membalas : Kalo sudah kenal betul sahamnya sih ada kemungkinan. Cuman memang risky yah. Kecuali capital all-in nya tidak terlalu besar, kat
Ya pak Jimmy kenal pola dr awal ditarik dan biasanya memang sudah uptren dan posisinya 
1. Mantul dr ma 5 or ma 20 
2. Mantul dr support candle",POLA,11:33:09 PM,Saturday March 27 2021,Positif
ryanless,"AGRO mantul di 1035
Ini adalah foto",AGRO,10:53:58 PM,Saturday March 27 2021,Positif
Avianto,"Yup berarti benar day trading = zero sum game. 

yg cuan dapat uang dari yg boncos. 

Beda bila cuan di karenakan harga saham naik di sebabkan krn keberhasil perusahaan mencetak laba. Ini bukan zero sum game.
Saat org pegang saham bbrp waktu lalu harga naik saat LK keluar profit besar... maka banyak org tertarik saham tsb shg saham naik harganya",UANG,8:04:58 PM,Saturday March 27 2021,Positif
Kaanz ,"CENT memang menarik dari chartnya, apalgi kan mau RI juga bisa cuan njedog tuh ",CENT,7:28:14 PM,Saturday March 27 2021,Positif
Aho Lie,"Membalas : Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu
Saya sekrg di cent  padahal udah komit mau sampai target e...iseng pdhl beli dpt di 226 itu harga plg tinggi lgs haka naik terus sampai 300 e..turun jual dulu 272.  Naik lagi fomo beli 280 trus turun gsk tahan maksd mau cl trus masuk lg malah lebh tinggi tp srkrg udh plus dikit ","CENT,TINS,TRUS",7:26:43 PM,Saturday March 27 2021,Positif
Chai Lie,"Membalas : Tp ingat says pernah udah cl masuk kslah cepet malah dpt avg lebh tinggi jadi gak ada yg 100%bener
Iya jg, kadang sdh CL, harga malah naik lagi, kejadiannya di TINS dulu  ",TINS,7:23:43 PM,Saturday March 27 2021,Positif
Charles Prop,"Membalas : Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampa
Betul pasti pullback krn bbtn baru break ath 2020 jan kemarin. Tapi masih akan naik lagi mengikuti kinerjanya. Ini berlaku buat saham2 lain jg yg punya kinerja positif",BBTN,6:38:18 PM,Saturday March 27 2021,Positif
Kaanz ,CENT nya potensi SSP dong ,CENT,6:35:16 PM,Saturday March 27 2021,Positif
Aho Lie,"Membalas : Deviden bagi pun jg ga akan besar. Dan ga ada artinya. Toh bbtn selama ini nyari duit dari kupon obligasi, yg harus dibayar bung
Krn waktu itu says persis pegsng bbtn begitu berits krluar naik 600%nsik tinggi says cuan lumyn saya udah bilg ama saudara sampai target 2000 kits tinggsl bener 2100 lebh lgs amblas bgt gak bagi deviden krn kbr bagus dan gak ngaruh banget ke saham sori ini pribadi bisa beda2 analisa gak kelar2     ",BBTN,6:30:16 PM,Saturday March 27 2021,Positif
Aho Lie,"Membalas : Contoh yang barusan kejadian adalah BBTN. Dirut ditarik org luar. Investor ngerasa kebijakan bbtn ini uda bagus, tapi berhub org
Klo nurut saya begitu bilg untung nsik 600%lrbh tp deviden gak bagi  ",BBTN,6:24:39 PM,Saturday March 27 2021,Positif
Billy,"Membalas : Jadi saat break volume tinggi baru masuk buat optimal entry ya? Kalau mau spekulasi cicil2 waktu sudah mulai mendekati MA50W nya
Iya ini waktu posisi nya market baru mau turn bull kang.. Skrg kan beda lg.. Skrg cari pivot entry ketika Saham2 yg lg otw uptrend.. Bisa flat base.. Bisa cnh atau rounding",BULL,2:24:46 PM,Saturday March 27 2021,Positif
qodri,"Membalas : Photo
wkwkwkwkwkkwk hasil cuan MPPA d balikin lg k perusahaannya ya pakde",MPPA,2:04:15 PM,Saturday March 27 2021,Positif
DEN,ANTM minggu depan ARA wajib pantau beritanya baru di buat media    ,ANTM,1:44:41 PM,Saturday March 27 2021,Positif
Fajar Oktavaria,"Membalas : Mantap, set stoploss di berapa skrg DOID
engga cutloss jadinya pak, malahan jadi profit  ",DOID,12:44:58 PM,Saturday March 27 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : ini pada case saat terlanjur dalam https://www.tradingview.com/x/bvz254Wp/
Mantap ini!!     

Kalau saya sendiri waktu CENT turun k bawah 250 saya CL krn beli avg up jdnya dpt di 262
Kamis setelah bottom lalu membentuk hammer hijau dg volume bagus baru saya masuk lg, di 250 juga",CENT,12:02:02 PM,Saturday March 27 2021,Positif
Bu Nana,Smra masi uptren,SMRA,11:38:22 AM,Saturday March 27 2021,Positif
Bu Nana,"Pagi TT , apa ini saat yg tepat buat avrg down smra ? Di 1000 sd 950?
Ini adalah foto",SMRA,11:27:30 AM,Saturday March 27 2021,Positif
Benhan,"Tentunya average down saat belum capai toleransi cutloss ya masih OK. Misalnya SAME pas koreksi sebelum RI dan kemarin2 CENT pas koreksi dikit saya avg down masih OK, karena cuma turun sedikit belum reversal trend","CENT,SAME",11:07:35 AM,Saturday March 27 2021,Positif
Alfian,ISAT :rocket:,ISAT,10:08:01 AM,Saturday March 27 2021,Positif
Angga Bhara,Yukss mumpung hari libur qt wisata ke taman AGRO agar fress hari senin,"AGAR,AGRO",9:48:34 AM,Saturday March 27 2021,Positif
Tommy Daniel,"Membalas : Membaca pengalaman suhu2 di sini dan berkaca dari pengalaman pribadi, rule nomor 1 trading itu memang PASANG STOP LOSS! Bahkan G
Setuju kakak... pasang stop loss ditiap posisi. Upgrade to trailing stop buat take profit.

Karena take profit itu juga sama penting nya dengan stop loss. Supaya bisa lihat account kita grow atau tidak.",SINI,9:13:13 AM,Saturday March 27 2021,Positif
Andrian,akra pak bisa dilirik,AKRA,7:46:12 AM,Saturday March 27 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : CENT nya dipantau bu Saya liat bagus tunggu konfirm Koreksi kalau salah
CENT kebetulan kemarin sudah masuk kak begitu dia ngebentuk mjolnir hijau dengan volume bagus, thank you remindernya   

Eko Bawono Aminnn pak, kalau itu sampai terwujud        cup nya cantik banget soalnya  ",CENT,10:29:11 PM,Friday March 26 2021,Positif
Yugo Ginanjar,"Membalas : Photo
CENT nya dipantau bu 

Saya liat bagus tunggu konfirm
Koreksi kalau salah",CENT,10:26:16 PM,Friday March 26 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Ijin berbagi analisa juga, hari ini SAME menunjukkan buyer kembali memasuki arena namun tertahan dibawah fibo 0.5 atau area sell signal dari Pak Guru Eko
Apakah besok akan berlanjut kenaikannya, atau akan kembali turun untuk mendekati MA20nya, karena selama ini MA20 selalu dicolek dulu sebelum ngegas  

Saya akan menunggu di area MA20 tersebut
Ini adalah foto",SAME,10:23:59 PM,Friday March 26 2021,Positif
Muhammag kuncoro,"Membalas : Kagak tau padahal dah mute kan?
Asix juga dengar masak2 di grub saham mungkin ini kodenya saham icbp ya minggu depan.",ICBP,8:45:01 PM,Friday March 26 2021,Positif
Dave @propertyimpianmurahsurabaya,Lg goreng Ikan mungkin  ,IKAN,8:36:38 PM,Friday March 26 2021,Positif
Jutha Bram,"Membalas : Yang haka antm tins inco mcas mukanya beseri2 pasti   
Saya Haka ESSA saja kemarin  
","ANTM,ESSA,INCO,MCAS,TINS",5:34:23 PM,Friday March 26 2021,Positif
Mic,"Membalas : ANTM TINS INCO MCAS HAKA
Yang haka antm tins inco mcas mukanya beseri2 pasti   
","ANTM,INCO,MCAS,TINS",5:26:14 PM,Friday March 26 2021,Positif
Paw Paw,cakep ya antm,ANTM,4:46:50 PM,Friday March 26 2021,Positif
Jafar Sim,"Membalas : Jadi pola htf nya pak ?
Harusnya jadi ya, konfirmasinya senin kalau harga naik tinggi dengan  volume tinggi juga,",POLA,3:08:16 PM,Friday March 26 2021,Positif
Hx,Kija mulai gerak,KIJA,2:16:24 PM,Friday March 26 2021,Positif
Humam,"Membalas : Pastikan lamar jabatan level Management ya Pak...karena itu MSOP bukan ESOP
AGRO MESOP pak, employee dapet juga.. ",AGRO,2:08:28 PM,Friday March 26 2021,Positif
rigeladitya,"Membalas : saya ga nyadar pak sudah dari maret sudah pasang gtc baru nyadar siang tadi heran kok tiba tiba cash nambah tapi kalo tembu
yes, ihns besar banget... masing2 shoulder 3 bulan bikin base-nya.",CASH,1:58:08 PM,Friday March 26 2021,Positif
Fajar Oktavaria,"Membalas : wahaha.. lama bat. say abaru seminggu juga udah mulai gerah nih.
saya ga nyadar pak sudah dari maret sudah pasang gtc baru nyadar siang tadi heran kok tiba tiba cash nambah   
tapi kalo tembus >630 memungkinkan buat ihns itu",CASH,1:57:23 PM,Friday March 26 2021,Positif
Erich,"Membalas : Jgn salah yg tumpah piringnya byk  
sold barusan kena tins",TINS,1:42:15 PM,Friday March 26 2021,Positif
den,masa2 kejayaan antm is back  ,ANTM,1:41:10 PM,Friday March 26 2021,Positif
Erich,kenyang dah dari tins antm inco hari ini :airplane::airplane::airplane::airplane:,"ANTM,INCO,TINS",1:41:01 PM,Friday March 26 2021,Positif
Aho Lie,"Membalas : ampun antm remnya blong  
Semoga ara kasian yg nyangkut byk inget klo udh untung buru2 Tp",ANTM,1:40:57 PM,Friday March 26 2021,Positif
as s,ampun antm remnya blong  ,ANTM,1:40:06 PM,Friday March 26 2021,Positif
Rakhmad Nirmawan Nofendi,"Membalas : Sadis ya om, yg related sama pat.wal. :police_car:
iya private equity yah gt kerjaan nya beli perusahaan yg babak belur di benerin ud cantik baru jual   . investasinya yg nyangkut kyknya di DOID waktu akuisisi BUMA di harga 1145 gak salah",DOID,1:38:40 PM,Friday March 26 2021,Positif
Septianto Francisco,DGNS serok arb ngab :rocket::rocket:,DGNS,1:30:48 PM,Friday March 26 2021,Positif
Rakhmad Nirmawan Nofendi,"Membalas : Keinget saham MASA om, siapa tau ada cerita yg sama kd go private gitu , dpt durian runtuh kalo sahamnya bener
northstar untung byk abis placement masa ke michelin sejak itu saham""nya northstar pada aktif",MASA,1:30:01 PM,Friday March 26 2021,Positif
Aliong,"Membalas : Harus liat produk ny jg si pak kenapa bs mau go private. Sngt minim sekarang prusahaan mau go private apalagi lg pandemi gini BU
Yak betul, cerita kaya saham MASA pasti dijaga ketat juga ga bole bocor alus",MASA,1:28:33 PM,Friday March 26 2021,Positif
Aho Lie,Saya sih yakin cent bakal ke 300 lebh ..ya...masalh lebhnya nih kira2 dilebihin 100 200 atau 2000       ,CENT,1:16:03 PM,Friday March 26 2021,Positif
Erich,"Membalas : Enak kan beli AGRO Rp285 perak harga pasar 11xx   auto chuan gede benar
sm kayak bjtm ini mesop2 ya","AGRO,AUTO,BJTM",1:10:12 PM,Friday March 26 2021,Positif
RBTAN59,"Membalas : Ini sih bukan saya pastinya    Tapi lumayan kan ANTM digoreng dari 700-an ke 2300-2400. 3x lipat dalam waktu setengah tahun
cent mgkn bisa jg 3x lipet yah Om   ","ANTM,CENT",1:08:32 PM,Friday March 26 2021,Positif
Soebianto,Enak kan beli AGRO Rp285 perak harga pasar 11xx   auto chuan gede benar,"AGRO,AUTO",1:06:43 PM,Friday March 26 2021,Positif
Soebianto,"Membalas : Asing yang beli RI Arto sih pinter, beli nya di harga disc 70%an dari harga pasar, smart....
Ini spt karyawan AGRO dikasih beli harga disc 70%an dari harga pasar ya pasti mau kan chuan lsg, apalagi di dokumen nya gak ada kata2 lock up","AGRO,ARTO",1:05:41 PM,Friday March 26 2021,Positif
Soebianto,"Asing yang beli RI Arto sih pinter, beli nya di harga disc 70%an dari harga pasar, smart....",ARTO,1:04:25 PM,Friday March 26 2021,Positif
Benhan,"Membalas : kmaren"" jg beli antm pada bilangnya sama karna masa depan 
Ini sih bukan saya pastinya   
Tapi lumayan kan ANTM digoreng dari 700-an ke 2300-2400. 3x lipat dalam waktu setengah tahun","ANTM,MASA",1:01:40 PM,Friday March 26 2021,Positif
Andi FX,"Membalas : uda takut. MG aja uda jarang nongol di antm 
Hari ini nongol..makanya naik  ",ANTM,12:38:14 PM,Friday March 26 2021,Positif
Charles Prop,"Membalas : kmaren"" jg beli antm pada bilangnya sama karna masa depan 
antm sudah masuk msci harga sudah dijaga. ga akan sevolatile dulu lagi","ANTM,MASA",12:31:35 PM,Friday March 26 2021,Positif
Andi FX,"Membalas : Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekit
Saya beli arto karna digoreng...berharap digoreng terus dan terus...dan terus.. ","ARTO,MASA",12:31:14 PM,Friday March 26 2021,Positif
krm nugraha,"Membalas : Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekit
kmaren"" jg beli antm pada bilangnya sama karna masa depan ","ANTM,ARTO,MASA",12:30:05 PM,Friday March 26 2021,Positif
Charles Prop,"Membalas : Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. I
kalau ditarik ke belakang chartnya 3-5tahun lalu, anda pasti ngerti kok kenapa ini saham dari 100perak jadi 5000 dibanting ke 100 lagi dengan sangat cepat
Membalas : Setuju, saingan nya BBCA
dari segi mana om saingan bbca? harga saham? atau bisnisnya?","ARTO,BBCA",12:23:19 PM,Friday March 26 2021,Positif
Bapakne Naila,"Coba digital bank pake PEG om, PE/EPS growth.
Membalas : Telat taunya klo tau dr dulu org kemarin waktu blm nsik harga 226 saya beli trus jyal tp sempet fomo waktu 280 tp gpp udh avg do
Siap om   ","BANK,TRUS",12:07:02 PM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Waktu 180 ga dilirik om  
Telat taunya klo tau dr dulu org kemarin waktu blm nsik harga 226 saya beli trus jyal tp sempet fomo waktu 280 tp gpp udh avg down jd udh lumyn pas harga 240",TRUS,12:05:55 PM,Friday March 26 2021,Positif
Vincent,"Saya mantau aja pak,all the best hehehe. Saya jg punya pandangan oke kok ke arto.",BEST,11:50:06 AM,Friday March 26 2021,Positif
Benhan,"Yang seperti ARTO ini jarang2 mungkin setahun cuma ada 3-4 emiten yg growthnya secepat ini. All leading to momennya Gojek IPO. Ini blueprintnya sudah jelas dan eksekusi Right Issuenya sempurna. Sayang kalau terlewatkan. 
Di dalamnya ada North Star pula. Banyak boxes ticked!  ","ARTO,STAR",11:44:52 AM,Friday March 26 2021,Positif
Benhan,"Beli ARTO karena masa depan lah. Itu PBV ARTO belum update karena equity nya skrg sekitar 8T setelah right issue. PBV skrg sekitar 16x. Sudah masuk kategori Bank Buku III.
Terus bakal right issue terus sampai equitynya capai 30T masuk Bank Buku IV. Perkiraan 2022 lah tercapai.","ARTO,BANK,MASA",11:40:54 AM,Friday March 26 2021,Positif
R,"haka bvic MG mulai masuk, AVG 177. masih harus di kerek naik ke 180-185",BVIC,11:33:11 AM,Friday March 26 2021,Positif
Benhan,Pas banget ya ANTM dikerek ke atas hari ini karena ada presscon battery holding. Begitulah cara market maker bekerja,ANTM,11:31:21 AM,Friday March 26 2021,Positif
Aho Lie,Klo cent sampai april kyknya prospektus keluar tp harga udsh diatas 300     ,CENT,11:30:27 AM,Friday March 26 2021,Positif
Novian Yudha 087,Antm TP selanjutnya 2800,ANTM,11:21:40 AM,Friday March 26 2021,Positif
Rolando,"Membalas : Suhu master Aho adalah spesialist CENT pak suhu master intel khong guan @Rovipr
sampai2 semua saham yg ijo dilihatnya ticker CENT  

peace ya, salam cuan",CENT,11:11:49 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Yang nyambung direply itu camp pak   
Kirain orgnya nanys kenaps Cent nsik    maklum efforia","CAMP,CENT",11:09:23 AM,Friday March 26 2021,Positif
Mic,"Membalas : ANTM TINS INCO MCAS HAKA
Ya haka congrats udh cuan ya","ANTM,INCO,MCAS,TINS",11:06:50 AM,Friday March 26 2021,Positif
Efraim Arya,"Membalas : kenapa naik tinggi om? ada isu apa?
Dia itu dulu isunya mau ikut distribusi salah satu vaksin kalo gk salah, makanya naik kenceng",SATU,11:04:01 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : AK nyerok Cent
Prospek",CENT,11:00:10 AM,Friday March 26 2021,Positif
Johny,AK nyerok Cent,CENT,10:58:28 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Photo
Ini yg saham salah satu diprediksi pak HS akan nsik tinggi   ",SATU,10:58:07 AM,Friday March 26 2021,Positif
Yoga Dharmawan,"Membalas : @RuiAuxilia Mb klo BBYB itu cumdate nya kapan to...kq di rti ma stockbit beda
Di rti belom update kayaknya, cumdate bbyb uda tgl 24 kemaren",BBYB,10:52:19 AM,Friday March 26 2021,Positif
Aho Lie,"Mana suara Brms    
Membalas : banyak yg bahagia yah kalau antam naik
Ia byk yg nyangkut",BRMS,10:41:03 AM,Friday March 26 2021,Positif
Septio Hanifa,PKPK ara gak nih,PKPK,10:29:11 AM,Friday March 26 2021,Positif
muriz,Antm nyangkut 8% terbayar lunas dgn hati yg tenang..gak minus lagi....trmksh pak sopir,ANTM,10:28:02 AM,Friday March 26 2021,Positif
Deny Hermawan,ANTM :rocket:,ANTM,10:26:17 AM,Friday March 26 2021,Positif
Fadli,antm kalo bertahan di atas 2350 sesi satu strong,"ANTM,SATU",10:20:17 AM,Friday March 26 2021,Positif
Erich,harga nikel timah biasa aja..antm tins ijo tebel  ,TINS,10:19:28 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : Naaah kalau bapak Aho ini spesialist CENT, mohon banyak banyak kasih masukan tentang CENT yaa
Target 300 hbs itu gby my love   
",CENT,10:11:55 AM,Friday March 26 2021,Positif
Ardiyan Bagas,MIKA masih bisa bikin higher high gak ya? Masih sangkut d 2900,MIKA,10:09:46 AM,Friday March 26 2021,Positif
Aho Lie,"Membalas : ARA kan CENT :rocket:
Udah 2x tik tok mas   ",CENT,10:05:25 AM,Friday March 26 2021,Positif
Ardiyan Bagas,ARA kan CENT :rocket:,CENT,10:04:34 AM,Friday March 26 2021,Positif
R,"bvic mantap. yok masuk, sblm ketnggalan",BVIC,10:02:21 AM,Friday March 26 2021,Positif
Jafar Sim,"Membalas : bisa juga 6-7-8-9  
Tulisan suhu master Billy     agak mencurigakan kalau ada tulisan wiim nya spti orang kalau baru pertama kali ketemu cici guru @RuiAuxilia grogi salfok    agro aja agro ajaaa skrg 1055","AGRO,WIIM",10:01:20 AM,Friday March 26 2021,Positif
Virgaust,"Membalas : jgn disebut2    nanti rame, khusus orang sabar wkwkw
koh Billy muncul di komen WIIM ini udah menjadi selling point tertentu. nilai Plus  ",WIIM,9:52:47 AM,Friday March 26 2021,Positif
Kaanz ,CENT nya kek nya juga potensi HTF?,CENT,9:50:58 AM,Friday March 26 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : WIIM nya masih ada 
@wealth88 nih kak ada calon HTF lagi kalau tertarik    tp kalau mau entry saran saya ya memang nunggu hTFnya confirm dulu",WIIM,9:49:34 AM,Friday March 26 2021,Positif
R,ARA kan BVIC,BVIC,9:48:58 AM,Friday March 26 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : it's ok lah gak HTF juga. asal base nya kuat, apapun bisa terjadi kyk waktu itu IMAS gagal confirm pattern, tpi volume masih
Iya, ga HTF bukan berarti ga naik ... saya komen kak @wealth88 karena dari kemarin semangat sekali biar HTF di DMMX   ","DMMX,IMAS",9:46:30 AM,Friday March 26 2021,Positif
JK Vm,Haka WMUU,WMUU,9:32:53 AM,Friday March 26 2021,Positif
Jafar Sim,"Membalas : Volumenya juga mesti besar bukannya pak ?
Nope, tudei masih masa konsolidasi volume harus rendah, senin baru meroket dengan volume besar, saya pasang buy 408 all in ga dapat  nih stress saya  ",MASA,9:28:22 AM,Friday March 26 2021,Positif
Jafar Sim,"Membalas : pak, biarkan saja senyap  
Oh iya ya    woke deh agro aja ayok ayok agro skrg 1060 feeling saya hari ini agro closing di 1030 
1030-1134-1208-1290 siapa mau serokk 1060 1060 ayok ayok",AGRO,9:26:16 AM,Friday March 26 2021,Positif
Bu Nana,Same uda 450,SAME,9:15:32 AM,Friday March 26 2021,Positif
as s,antm dorong ihsg  ,ANTM,9:15:24 AM,Friday March 26 2021,Positif
Vivian,Mantoelll nih same,SAME,9:11:15 AM,Friday March 26 2021,Positif
Kirana L,"Membalas : Jd ingat film Capt Phillips :ship:
Kaya insight sahamnya bakal naik ya pak",FILM,8:57:27 AM,Friday March 26 2021,Positif
rigeladitya,"Membalas : Should be wise at the current condition of the market? I mean Mark meenermini just wrote a single notice that it may be only a s
cek lagi twitternya minervini bu... dia bilang dia stupid, sering CL tapi habis itu sahamnya terbang. sekelas minervini yang gain portonya sudah 57% YTD aja ngalamin kok  ",MARK,8:53:27 AM,Friday March 26 2021,Positif
Benhan,"Membalas : berita 2 hari lalu 
Ketika berita positif dikeluarkan untuk salah satu emiten, itu pertanda akumulasi sudah cukup dan insider siap TP. Ngundang retail buat beli",SATU,8:24:58 AM,Friday March 26 2021,Positif
Charles Prop,"Membalas : [BREAKING] BBRI memutuskan untuk membagikan Rp12 triliun atau sekitar 65% dari laba bersih tahun 2020. Dengan demikian, dividen
Di newsnya bukannya 160an ya?",BBRI,1:08:57 AM,Friday March 26 2021,Positif
rigeladitya,"INCO area demand, ada yang lagi ngumpul in banyak banget.
Ini adalah foto",INCO,10:48:22 PM,Monday March 29 2021,Positif
Melvin E. S.,"Membalas : Photo
Tentu ada alasan naik tinggi. Yg sy ingat inkp tkim brpt dan tpia naik multibagger krn fundamentalnya bagus. Lompatan laba ratusan persen didukung penjualan yg juga naik dst..","BRPT,INKP,TKIM,TPIA",9:54:45 PM,Monday March 29 2021,Positif
Sales ERAA,"Membalas : Sales eraa ini beneran hehe
ERAA road to 3000
semoga semesta mendukung  ",ERAA,9:15:08 PM,Monday March 29 2021,Positif
Kaanz ,"Seperti nya CENT jg potensi membentuk cup and handle juga pak guru Eko Bawono , jika pola SSP gagal minggu ini, kalo dilihat dari volume jg mendukung, bagaimana dengan pendapat pak guru  time frame 4h
Ini adalah foto","CENT,POLA",9:06:59 PM,Monday March 29 2021,Positif
ando,Hrum knp kuat sendiri ya?,HRUM,8:44:45 PM,Monday March 29 2021,Positif
Rui :rocket: :speedboat::dancer: ,"Membalas : Ada yang bisa jelaskan kenapa bank mayapada arb berjilid2 pasca 3 hari cum date RI? Padahal pas sentimen bank mini terbang, may
Market tidak ada yang tahu pak, tidak semua RI bakalan sukses dan bagus, harusnya tetap berjaga2 ... saya lihat dari awal Maret sampai RI itu MAYA sempet digoreng kencang lho ... dari 3000an k 7000... itu juga diterbangkan kak","BANK,MAYA",7:52:02 PM,Monday March 29 2021,Positif
